País,Categoría,Explicación
Arabia Saudí,1,Homosexualidad ilegal con pena de muerte
Brunei,1,Homosexualidad ilegal con pena de muerte
Irán,1,Homosexualidad ilegal con pena de muerte
Mauritania,1,Homosexualidad ilegal con pena de muerte
Nigeria (12 estados del Norte),1,Homosexualidad ilegal con pena de muerte
Yemen,1,Homosexualidad ilegal con pena de muerte
Afganistán,1,Homosexualidad ilegal con pena de muerte
Emiratos Árabes Unidos,1,Homosexualidad ilegal con pena de muerte
Pakistán,1,Homosexualidad ilegal con pena de muerte
Qatar,1,Homosexualidad ilegal con pena de muerte
Somalia,1,Homosexualidad ilegal con pena de muerte
Sudán,2,Homosexualidad ilegal con cadena perpetua
Tanzania,2,Homosexualidad ilegal con cadena perpetua
Uganda,2,Homosexualidad ilegal con cadena perpetua
Zambia,2,Homosexualidad ilegal con cadena perpetua
Barbados,2,Homosexualidad ilegal con cadena perpetua
Guyana,2,Homosexualidad ilegal con cadena perpetua
Malasia,3,Homosexualidad ilegal con pena de cárcel
Kenia,3,Homosexualidad ilegal con pena de cárcel
Gambia,3,Homosexualidad ilegal con pena de cárcel
Malawi,3,Homosexualidad ilegal con pena de cárcel
Egipto,4,Homosexualidad ilegal de facto
Irak,4,Homosexualidad ilegal de facto
China,5,Ni protección ni criminalización
India,5,Ni protección ni criminalización
Rusia,5,Ni protección ni criminalización
Albania,6,Alguna protección legal
Eslovaquia,6,Alguna protección legal
Serbia,6,Alguna protección legal
Angola,6,Alguna protección legal
Honduras,6,Alguna protección legal
Perú,6,Alguna protección legal
Bolivia,6,Alguna protección legal
Italia,8,Protección legal amplia con uniones civiles
Grecia,8,Protección legal amplia con uniones civiles
Suiza,8,Protección legal amplia con uniones civiles
Hungría,8,Protección legal amplia con uniones civiles
Chile,8,Protección legal amplia con uniones civiles
Alemania,9,Protección legal amplia con matrimonio igualitario
Austria,9,Protección legal amplia con matrimonio igualitario
Bélgica,9,Protección legal amplia con matrimonio igualitario
Dinamarca,9,Protección legal amplia con matrimonio igualitario
España,9,Protección legal amplia con matrimonio igualitario
Finlandia,9,Protección legal amplia con matrimonio igualitario
Francia,9,Protección legal amplia con matrimonio igualitario
Irlanda,9,Protección legal amplia con matrimonio igualitario
Islandia,9,Protección legal amplia con matrimonio igualitario
Luxemburgo,9,Protección legal amplia con matrimonio igualitario
Malta,9,Protección legal amplia con matrimonio igualitario
Noruega,9,Protección legal amplia con matrimonio igualitario
Países Bajos,9,Protección legal amplia con matrimonio igualitario
Portugal,9,Protección legal amplia con matrimonio igualitario
Reino Unido,9,Protección legal amplia con matrimonio igualitario
Suecia,9,Protección legal amplia con matrimonio igualitario
Argentina,9,Protección legal amplia con matrimonio igualitario
Brasil,9,Protección legal amplia con matrimonio igualitario
Colombia,9,Protección legal amplia con matrimonio igualitario
Costa Rica,9,Protección legal amplia con matrimonio igualitario
Ecuador,9,Protección legal amplia con matrimonio igualitario
México,9,Protección legal amplia con matrimonio igualitario
Uruguay,9,Protección legal amplia con matrimonio igualitario
Australia,9,Protección legal amplia con matrimonio igualitario
Nueva Zelanda,9,Protección legal amplia con matrimonio igualitario
Sudáfrica,9,Protección legal amplia con matrimonio igualitario
Puerto Rico,9,Protección legal amplia con matrimonio igualitario
Taiwán,9,Protección legal amplia con matrimonio igualitario
